lakeid,year,metric,sampledate,daynum,daynum_fill,filled_flag
BM,2009,secchi_springmax,2009-06-23,174,174,FALSE
BM,2009,zoopDensity,2009-04-29,119,119,FALSE
BM,2009,zoopDensity_spring,2009-04-29,119,119,FALSE
BM,2010,iceoff,2010-03-31,90,90,FALSE
BM,2010,iceon,2010-12-06,340,340,FALSE
BM,2010,straton,2010-05-03,123,123,FALSE
BM,2010,stratoff,2010-09-27,270,270,FALSE
BM,2010,energy,2010-08-02,214,214,FALSE
BM,2010,stability,2010-08-02,214,214,FALSE
BM,2010,anoxia_summer,2010-08-17,229,229,FALSE
BM,2010,drsif_epiMin,2010-07-09,190,190,FALSE
BM,2010,totnuf_epiMin,2010-06-07,158,158,FALSE
BM,2010,totpuf_epiMin,2010-07-09,190,190,FALSE
BM,2010,doc_epiMax,2010-04-13,103,103,FALSE
BM,2010,totnuf_hypoMax,NA,NA,276,TRUE
BM,2010,totpuf_hypoMax,NA,NA,264,TRUE
BM,2010,drsif_epiSpringMin,2010-07-09,190,190,FALSE
BM,2010,secchi_max,2010-05-25,145,145,FALSE
BM,2010,secchi_min,2010-04-13,103,103,FALSE
BM,2010,secchi_springmax,2010-05-25,145,145,FALSE
BM,2010,zoopDensity,2010-11-11,315,315,FALSE
BM,2010,zoopDensity_spring,2010-05-10,130,130,FALSE
BM,2011,iceoff,2011-04-28,118,118,FALSE
BM,2011,iceon,2011-12-05,339,339,FALSE
BM,2011,straton,2011-05-17,137,137,FALSE
BM,2011,stratoff,2011-10-03,276,276,FALSE
BM,2011,energy,2011-08-09,221,221,FALSE
BM,2011,stability,2011-08-23,235,235,FALSE
BM,2011,anoxia_summer,2011-09-06,249,249,FALSE
BM,2011,drsif_epiMin,2011-05-31,151,151,FALSE
BM,2011,totnuf_epiMin,2011-11-15,319,319,FALSE
BM,2011,totpuf_epiMin,2011-07-27,208,208,FALSE
BM,2011,doc_epiMax,NA,NA,219,TRUE
BM,2011,totnuf_hypoMax,NA,NA,276,TRUE
BM,2011,totpuf_hypoMax,NA,NA,264,TRUE
BM,2011,drsif_epiSpringMin,2011-05-31,151,151,FALSE
BM,2011,secchi_max,2011-05-05,125,125,FALSE
BM,2011,secchi_min,2011-05-31,151,151,FALSE
BM,2011,secchi_springmax,2011-05-05,125,125,FALSE
BM,2011,zoopDensity,2011-05-05,125,125,FALSE
BM,2011,zoopDensity_spring,2011-05-05,125,125,FALSE
BM,2012,iceoff,2012-03-20,80,80,FALSE
BM,2012,iceon,2012-12-11,346,346,FALSE
BM,2012,straton,2012-04-30,121,121,FALSE
BM,2012,stratoff,2012-10-01,275,275,FALSE
BM,2012,energy,2012-07-23,205,205,FALSE
BM,2012,stability,2012-08-09,222,222,FALSE
BM,2012,anoxia_summer,2012-09-04,248,248,FALSE
BM,2012,drsif_epiMin,2012-04-30,121,121,FALSE
BM,2012,totnuf_epiMin,2012-05-29,150,150,FALSE
BM,2012,totpuf_epiMin,2012-04-03,94,94,FALSE
BM,2012,doc_epiMax,2012-10-17,291,291,FALSE
BM,2012,totnuf_hypoMax,NA,NA,276,TRUE
BM,2012,totpuf_hypoMax,NA,NA,264,TRUE
BM,2012,drsif_epiSpringMin,2012-04-30,121,121,FALSE
BM,2012,secchi_max,2012-11-13,318,318,FALSE
BM,2012,secchi_min,2012-08-20,233,233,FALSE
BM,2012,secchi_springmax,2012-04-30,121,121,FALSE
BM,2012,zoopDensity,2012-04-30,121,121,FALSE
BM,2012,zoopDensity_spring,2012-04-30,121,121,FALSE
BM,2013,iceoff,2013-05-10,130,130,FALSE
BM,2013,iceon,2013-11-27,331,331,FALSE
BM,2013,straton,2013-05-28,148,148,FALSE
BM,2013,stratoff,2013-10-16,289,289,FALSE
BM,2013,energy,2013-09-03,246,246,FALSE
BM,2013,stability,2013-07-25,206,206,FALSE
BM,2013,anoxia_summer,2013-09-03,246,246,FALSE
BM,2013,drsif_epiMin,2013-06-10,161,161,FALSE
BM,2013,totnuf_epiMin,2013-07-08,189,189,FALSE
BM,2013,totpuf_epiMin,2013-06-10,161,161,FALSE
BM,2013,doc_epiMax,2013-06-10,161,161,FALSE
BM,2013,totnuf_hypoMax,NA,NA,276,TRUE
BM,2013,totpuf_hypoMax,NA,NA,264,TRUE
BM,2013,drsif_epiSpringMin,2013-06-10,161,161,FALSE
BM,2013,secchi_max,2013-06-24,175,175,FALSE
BM,2013,secchi_min,2013-06-10,161,161,FALSE
BM,2013,secchi_springmax,2013-06-24,175,175,FALSE
BM,2013,zoopDensity,2013-08-07,219,219,FALSE
BM,2013,zoopDensity_spring,2013-06-10,161,161,FALSE
BM,2014,iceoff,2014-05-09,129,129,FALSE
BM,2014,iceon,2014-11-21,325,325,FALSE
BM,2014,straton,2014-05-20,140,140,FALSE
BM,2014,stratoff,2014-10-07,280,280,FALSE
BM,2014,energy,2014-08-11,223,223,FALSE
BM,2014,stability,2014-09-09,252,252,FALSE
BM,2014,anoxia_summer,2014-09-09,252,252,FALSE
BM,2014,drsif_epiMin,2014-07-15,196,196,FALSE
BM,2014,totnuf_epiMin,2014-10-07,280,280,FALSE
BM,2014,totpuf_epiMin,2014-08-11,223,223,FALSE
BM,2014,doc_epiMax,2014-07-15,196,196,FALSE
BM,2014,totnuf_hypoMax,NA,NA,276,TRUE
BM,2014,totpuf_hypoMax,NA,NA,264,TRUE
BM,2014,drsif_epiSpringMin,2014-07-15,196,196,FALSE
BM,2014,secchi_max,2014-06-16,167,167,FALSE
BM,2014,secchi_min,2014-05-20,140,140,FALSE
BM,2014,secchi_springmax,2014-06-16,167,167,FALSE
BM,2014,zoopDensity,2014-08-11,223,223,FALSE
BM,2014,zoopDensity_spring,2014-06-16,167,167,FALSE
BM,2015,iceoff,2015-04-15,105,105,FALSE
BM,2015,iceon,2015-12-28,362,362,FALSE
BM,2015,straton,2015-05-06,126,126,FALSE
BM,2015,stratoff,2015-10-21,294,294,FALSE
BM,2015,energy,2015-07-29,210,210,FALSE
BM,2015,stability,2015-07-29,210,210,FALSE
BM,2015,anoxia_summer,2015-09-23,266,266,FALSE
BM,2015,drsif_epiMin,2015-05-19,139,139,FALSE
BM,2015,totnuf_epiMin,2015-09-09,252,252,FALSE
BM,2015,totpuf_epiMin,2015-06-15,166,166,FALSE
BM,2015,doc_epiMax,2015-09-09,252,252,FALSE
BM,2015,totnuf_hypoMax,NA,NA,276,TRUE
BM,2015,totpuf_hypoMax,NA,NA,264,TRUE
BM,2015,drsif_epiSpringMin,2015-05-19,139,139,FALSE
BM,2015,secchi_max,2015-05-19,139,139,FALSE
BM,2015,secchi_min,2015-04-23,113,113,FALSE
BM,2015,secchi_springmax,2015-05-19,139,139,FALSE
BM,2015,zoopDensity,2015-08-12,224,224,FALSE
BM,2015,zoopDensity_spring,2015-05-19,139,139,FALSE
BM,2016,iceoff,2016-04-19,110,110,FALSE
BM,2016,iceon,2016-12-12,347,347,FALSE
BM,2016,straton,2016-05-09,130,130,FALSE
BM,2016,stratoff,2016-10-26,300,300,FALSE
BM,2016,energy,2016-08-16,229,229,FALSE
BM,2016,stability,2016-08-16,229,229,FALSE
BM,2016,anoxia_summer,2016-09-13,257,257,FALSE
BM,2016,drsif_epiMin,2016-05-23,144,144,FALSE
BM,2016,totnuf_epiMin,2016-07-20,202,202,FALSE
BM,2016,totpuf_epiMin,2016-04-27,118,118,FALSE
BM,2016,doc_epiMax,2016-06-21,173,173,FALSE
BM,2016,totnuf_hypoMax,NA,NA,276,TRUE
BM,2016,totpuf_hypoMax,NA,NA,264,TRUE
BM,2016,drsif_epiSpringMin,2016-05-23,144,144,FALSE
BM,2016,secchi_max,2016-05-09,130,130,FALSE
BM,2016,secchi_min,2016-05-23,144,144,FALSE
BM,2016,secchi_springmax,2016-05-09,130,130,FALSE
BM,2016,zoopDensity,2016-08-16,229,229,FALSE
BM,2016,zoopDensity_spring,2016-05-23,144,144,FALSE
BM,2017,iceoff,2017-04-09,99,99,FALSE
BM,2017,iceon,2017-12-11,345,345,FALSE
BM,2017,straton,2017-05-16,136,136,FALSE
BM,2017,stratoff,2017-10-17,290,290,FALSE
BM,2017,energy,2017-08-07,219,219,FALSE
BM,2017,stability,2017-08-22,234,234,FALSE
BM,2017,anoxia_summer,2017-10-03,276,276,FALSE
BM,2017,drsif_epiMin,2017-05-16,136,136,FALSE
BM,2017,totnuf_epiMin,2017-05-16,136,136,FALSE
BM,2017,totpuf_epiMin,2017-07-11,192,192,FALSE
BM,2017,doc_epiMax,2017-07-11,192,192,FALSE
BM,2017,totnuf_hypoMax,NA,NA,276,TRUE
BM,2017,totpuf_hypoMax,NA,NA,264,TRUE
BM,2017,drsif_epiSpringMin,2017-05-16,136,136,FALSE
BM,2017,secchi_max,2017-05-16,136,136,FALSE
BM,2017,secchi_min,2017-04-19,109,109,FALSE
BM,2017,secchi_springmax,2017-05-16,136,136,FALSE
BM,2017,zoopDensity,2017-05-16,136,136,FALSE
BM,2017,zoopDensity_spring,2017-05-16,136,136,FALSE
BM,2018,iceoff,2018-05-07,127,127,FALSE
BM,2018,iceon,2018-11-19,323,323,FALSE
BM,2018,straton,2018-05-16,136,136,FALSE
BM,2018,stratoff,2018-10-17,290,290,FALSE
BM,2018,energy,2018-08-20,232,232,FALSE
BM,2018,stability,2018-07-23,204,204,FALSE
BM,2018,anoxia_summer,2018-09-19,262,262,FALSE
BM,2018,drsif_epiMin,2018-06-13,164,164,FALSE
BM,2018,totnuf_epiMin,2018-08-06,218,218,FALSE
BM,2018,totpuf_epiMin,2018-06-13,164,164,FALSE
BM,2018,doc_epiMax,NA,NA,219,TRUE
BM,2018,totnuf_hypoMax,NA,NA,276,TRUE
BM,2018,totpuf_hypoMax,NA,NA,264,TRUE
BM,2018,drsif_epiSpringMin,2018-06-13,164,164,FALSE
BM,2018,secchi_max,2018-07-23,204,204,FALSE
BM,2018,secchi_min,2018-05-16,136,136,FALSE
BM,2018,secchi_springmax,2018-05-29,149,149,FALSE
BM,2018,zoopDensity,2018-08-06,218,218,FALSE
BM,2018,zoopDensity_spring,2018-06-13,164,164,FALSE
CB,1982,iceoff,1982-04-30,120,120,FALSE
CB,1982,iceon,1982-11-22,326,326,FALSE
CB,1982,straton,1982-05-13,133,133,FALSE
CB,1982,stratoff,1982-10-06,279,279,FALSE
CB,1982,energy,1982-07-22,203,203,FALSE
CB,1982,stability,1982-07-22,203,203,FALSE
CB,1982,anoxia_summer,1982-09-22,265,265,FALSE
CB,1982,drsif_epiMin,1982-06-23,174,174,FALSE
CB,1982,totnuf_epiMin,NA,NA,219,TRUE
CB,1982,totpuf_epiMin,NA,NA,232,TRUE
CB,1982,doc_epiMax,NA,NA,192,TRUE
CB,1982,totnuf_hypoMax,NA,NA,197.5,TRUE
CB,1982,totpuf_hypoMax,NA,NA,204.5,TRUE
CB,1982,drsif_epiSpringMin,1982-06-23,174,174,FALSE
CB,1982,secchi_max,1982-09-22,265,265,FALSE
CB,1982,secchi_min,1982-08-19,231,231,FALSE
CB,1982,secchi_springmax,1982-07-06,187,187,FALSE
CB,1982,zoopDensity,1982-08-19,231,231,FALSE
CB,1982,zoopDensity_spring,1982-07-06,187,187,FALSE
CB,1983,iceoff,1983-04-27,117,117,FALSE
CB,1983,iceon,1983-11-14,318,318,FALSE
CB,1983,straton,1983-05-12,132,132,FALSE
CB,1983,stratoff,1983-09-29,272,272,FALSE
CB,1983,energy,1983-07-19,200,200,FALSE
CB,1983,stability,1983-07-19,200,200,FALSE
CB,1983,anoxia_summer,1983-07-19,200,200,FALSE
CB,1983,drsif_epiMin,1983-07-19,200,200,FALSE
CB,1983,totnuf_epiMin,NA,NA,219,TRUE
CB,1983,totpuf_epiMin,NA,NA,232,TRUE
CB,1983,doc_epiMax,NA,NA,192,TRUE
CB,1983,totnuf_hypoMax,NA,NA,197.5,TRUE
CB,1983,totpuf_hypoMax,NA,NA,204.5,TRUE
CB,1983,drsif_epiSpringMin,1983-06-23,174,174,FALSE
CB,1983,secchi_max,1983-09-29,272,272,FALSE
CB,1983,secchi_min,1983-06-07,158,158,FALSE
CB,1983,secchi_springmax,1983-06-23,174,174,FALSE
CB,1983,zoopDensity,1983-07-07,188,188,FALSE
CB,1983,zoopDensity_spring,1983-07-07,188,188,FALSE
CB,1984,iceoff,1984-04-16,107,107,FALSE
CB,1984,iceon,1984-11-06,311,311,FALSE
CB,1984,straton,1984-05-10,131,131,FALSE
CB,1984,stratoff,1984-09-06,250,250,FALSE
CB,1984,energy,1984-07-31,213,213,FALSE
CB,1984,stability,1984-06-18,170,170,FALSE
CB,1984,anoxia_summer,1984-07-04,186,186,FALSE
CB,1984,drsif_epiMin,1984-08-16,229,229,FALSE
CB,1984,totnuf_epiMin,NA,NA,219,TRUE
CB,1984,totpuf_epiMin,NA,NA,232,TRUE
CB,1984,doc_epiMax,NA,NA,192,TRUE
CB,1984,totnuf_hypoMax,NA,NA,197.5,TRUE
CB,1984,totpuf_hypoMax,NA,NA,204.5,TRUE
CB,1984,drsif_epiSpringMin,1984-06-18,170,170,FALSE
CB,1984,secchi_max,1984-09-24,268,268,FALSE
CB,1984,secchi_min,1984-06-18,170,170,FALSE
CB,1984,secchi_springmax,1984-07-04,186,186,FALSE
CB,1984,zoopDensity,1984-05-10,131,131,FALSE
CB,1984,zoopDensity_spring,1984-05-10,131,131,FALSE
CB,1985,iceoff,1985-04-23,113,113,FALSE
CB,1985,iceon,1985-11-11,315,315,FALSE
CB,1985,straton,1985-05-02,122,122,FALSE
CB,1985,stratoff,1985-10-24,297,297,FALSE
CB,1985,energy,1985-08-05,217,217,FALSE
CB,1985,stability,1985-06-10,161,161,FALSE
CB,1985,anoxia_summer,1985-05-02,122,122,FALSE
CB,1985,drsif_epiMin,1985-05-30,150,150,FALSE
CB,1985,totnuf_epiMin,NA,NA,219,TRUE
CB,1985,totpuf_epiMin,NA,NA,232,TRUE
CB,1985,doc_epiMax,NA,NA,192,TRUE
CB,1985,totnuf_hypoMax,NA,NA,197.5,TRUE
CB,1985,totpuf_hypoMax,NA,NA,204.5,TRUE
CB,1985,drsif_epiSpringMin,1985-05-30,150,150,FALSE
CB,1985,secchi_max,1985-10-24,297,297,FALSE
CB,1985,secchi_min,1985-05-14,134,134,FALSE
CB,1985,secchi_springmax,1985-05-02,122,122,FALSE
CB,1985,zoopDensity,1985-06-25,176,176,FALSE
CB,1985,zoopDensity_spring,1985-06-25,176,176,FALSE
CB,1986,iceoff,1986-04-12,102,102,FALSE
CB,1986,iceon,1986-11-10,314,314,FALSE
CB,1986,straton,1986-04-23,113,113,FALSE
CB,1986,stratoff,1986-10-20,293,293,FALSE
CB,1986,energy,1986-07-31,212,212,FALSE
CB,1986,stability,1986-06-02,153,153,FALSE
CB,1986,anoxia_summer,1986-07-14,195,195,FALSE
CB,1986,drsif_epiMin,1986-05-20,140,140,FALSE
CB,1986,totnuf_epiMin,NA,NA,219,TRUE
CB,1986,totpuf_epiMin,NA,NA,232,TRUE
CB,1986,doc_epiMax,1986-04-23,113,113,FALSE
CB,1986,totnuf_hypoMax,NA,NA,197.5,TRUE
CB,1986,totpuf_hypoMax,NA,NA,204.5,TRUE
CB,1986,drsif_epiSpringMin,1986-05-20,140,140,FALSE
CB,1986,secchi_max,1986-07-31,212,212,FALSE
CB,1986,secchi_min,1986-05-06,126,126,FALSE
CB,1986,secchi_springmax,1986-06-17,168,168,FALSE
CB,1986,zoopDensity,1986-07-14,195,195,FALSE
CB,1986,zoopDensity_spring,1986-07-14,195,195,FALSE
CB,1987,iceoff,1987-04-10,100,100,FALSE
CB,1987,iceon,1987-11-23,327,327,FALSE
CB,1987,straton,1987-04-13,103,103,FALSE
CB,1987,stratoff,1987-09-23,266,266,FALSE
CB,1987,energy,1987-07-27,208,208,FALSE
CB,1987,stability,1987-06-03,154,154,FALSE
CB,1987,anoxia_summer,1987-06-23,174,174,FALSE
CB,1987,drsif_epiMin,1987-09-10,253,253,FALSE
CB,1987,totnuf_epiMin,1987-07-14,195,195,FALSE
CB,1987,totpuf_epiMin,1987-04-13,103,103,FALSE
CB,1987,doc_epiMax,1987-06-23,174,174,FALSE
CB,1987,totnuf_hypoMax,1987-04-13,103,103,FALSE
CB,1987,totpuf_hypoMax,1987-06-23,174,174,FALSE
CB,1987,drsif_epiSpringMin,1987-05-19,139,139,FALSE
CB,1987,secchi_max,1987-07-27,208,208,FALSE
CB,1987,secchi_min,1987-04-13,103,103,FALSE
CB,1987,secchi_springmax,1987-06-03,154,154,FALSE
CB,1987,zoopDensity,1987-08-13,225,225,FALSE
CB,1987,zoopDensity_spring,1987-06-03,154,154,FALSE
CB,1988,iceoff,1988-04-11,102,102,FALSE
CB,1988,iceon,1988-11-18,323,323,FALSE
CB,1988,straton,1988-05-11,132,132,FALSE
CB,1988,stratoff,1988-09-26,270,270,FALSE
CB,1988,energy,1988-08-02,215,215,FALSE
CB,1988,stability,1988-06-08,160,160,FALSE
CB,1988,anoxia_summer,1988-06-22,174,174,FALSE
CB,1988,drsif_epiMin,1988-09-14,258,258,FALSE
CB,1988,totnuf_epiMin,1988-08-15,228,228,FALSE
CB,1988,totpuf_epiMin,1988-05-23,144,144,FALSE
CB,1988,doc_epiMax,1988-09-14,258,258,FALSE
CB,1988,totnuf_hypoMax,1988-07-18,200,200,FALSE
CB,1988,totpuf_hypoMax,1988-07-18,200,200,FALSE
CB,1988,drsif_epiSpringMin,1988-05-23,144,144,FALSE
CB,1988,secchi_max,1988-09-14,258,258,FALSE
CB,1988,secchi_min,1988-07-07,189,189,FALSE
CB,1988,secchi_springmax,1988-05-11,132,132,FALSE
CB,1988,zoopDensity,1988-06-22,174,174,FALSE
CB,1988,zoopDensity_spring,1988-06-22,174,174,FALSE
CB,1989,iceoff,1989-04-24,114,114,FALSE
CB,1989,iceon,1989-11-13,317,317,FALSE
CB,1989,straton,1989-05-04,124,124,FALSE
CB,1989,stratoff,1989-10-30,303,303,FALSE
CB,1989,energy,1989-07-26,207,207,FALSE
CB,1989,stability,1989-07-11,192,192,FALSE
CB,1989,anoxia_summer,1989-07-26,207,207,FALSE
CB,1989,drsif_epiMin,1989-09-19,262,262,FALSE
CB,1989,totnuf_epiMin,1989-10-18,291,291,FALSE
CB,1989,totpuf_epiMin,1989-10-18,291,291,FALSE
CB,1989,doc_epiMax,1989-06-26,177,177,FALSE
CB,1989,totnuf_hypoMax,1989-05-04,124,124,FALSE
CB,1989,totpuf_hypoMax,1989-06-26,177,177,FALSE
CB,1989,drsif_epiSpringMin,1989-06-26,177,177,FALSE
CB,1989,secchi_max,1989-08-09,221,221,FALSE
CB,1989,secchi_min,1989-05-04,124,124,FALSE
CB,1989,secchi_springmax,1989-05-30,150,150,FALSE
CB,1989,zoopDensity,1989-06-14,165,165,FALSE
CB,1989,zoopDensity_spring,1989-06-14,165,165,FALSE
CB,1990,iceoff,1990-04-16,106,106,FALSE
CB,1990,iceon,1990-11-26,330,330,FALSE
CB,1990,straton,1990-05-02,122,122,FALSE
CB,1990,stratoff,1990-09-04,247,247,FALSE
CB,1990,energy,1990-07-25,206,206,FALSE
CB,1990,stability,1990-07-11,192,192,FALSE
CB,1990,anoxia_summer,1990-08-06,218,218,FALSE
CB,1990,drsif_epiMin,1990-05-30,150,150,FALSE
CB,1990,totnuf_epiMin,1990-06-25,176,176,FALSE
CB,1990,totpuf_epiMin,1990-06-25,176,176,FALSE
CB,1990,doc_epiMax,1990-11-08,312,312,FALSE
CB,1990,totnuf_hypoMax,1990-07-25,206,206,FALSE
CB,1990,totpuf_hypoMax,1990-05-02,122,122,FALSE
CB,1990,drsif_epiSpringMin,1990-05-30,150,150,FALSE
CB,1990,secchi_max,1990-05-30,150,150,FALSE
CB,1990,secchi_min,1990-05-02,122,122,FALSE
CB,1990,secchi_springmax,1990-05-30,150,150,FALSE
CB,1990,zoopDensity,1990-05-02,122,122,FALSE
CB,1990,zoopDensity_spring,1990-05-02,122,122,FALSE
CB,1991,iceoff,1991-04-15,105,105,FALSE
CB,1991,iceon,1991-11-04,308,308,FALSE
CB,1991,straton,1991-05-09,129,129,FALSE
CB,1991,stratoff,1991-09-10,253,253,FALSE
CB,1991,energy,1991-07-16,197,197,FALSE
CB,1991,stability,1991-06-03,154,154,FALSE
CB,1991,anoxia_summer,1991-08-26,238,238,FALSE
CB,1991,drsif_epiMin,1991-06-03,154,154,FALSE
CB,1991,totnuf_epiMin,1991-07-31,212,212,FALSE
CB,1991,totpuf_epiMin,1991-10-29,302,302,FALSE
CB,1991,doc_epiMax,1991-07-31,212,212,FALSE
CB,1991,totnuf_hypoMax,1991-08-26,238,238,FALSE
CB,1991,totpuf_hypoMax,1991-06-03,154,154,FALSE
CB,1991,drsif_epiSpringMin,1991-06-03,154,154,FALSE
CB,1991,secchi_max,1991-10-08,281,281,FALSE
CB,1991,secchi_min,1991-07-31,212,212,FALSE
CB,1991,secchi_springmax,1991-07-02,183,183,FALSE
CB,1991,zoopDensity,1991-06-17,168,168,FALSE
CB,1991,zoopDensity_spring,1991-06-17,168,168,FALSE
CB,1992,iceoff,1992-04-27,118,118,FALSE
CB,1992,iceon,1992-11-06,311,311,FALSE
CB,1992,straton,1992-05-04,125,125,FALSE
CB,1992,stratoff,1992-09-23,267,267,FALSE
CB,1992,energy,1992-07-27,209,209,FALSE
CB,1992,stability,1992-06-04,156,156,FALSE
CB,1992,anoxia_summer,1992-06-16,168,168,FALSE
CB,1992,drsif_epiMin,1992-06-04,156,156,FALSE
CB,1992,totnuf_epiMin,1992-08-26,239,239,FALSE
CB,1992,totpuf_epiMin,1992-08-26,239,239,FALSE
CB,1992,doc_epiMax,1992-07-08,190,190,FALSE
CB,1992,totnuf_hypoMax,1992-07-08,190,190,FALSE
CB,1992,totpuf_hypoMax,1992-07-08,190,190,FALSE
CB,1992,drsif_epiSpringMin,1992-06-04,156,156,FALSE
CB,1992,secchi_max,1992-08-26,239,239,FALSE
CB,1992,secchi_min,1992-07-08,190,190,FALSE
CB,1992,secchi_springmax,1992-05-21,142,142,FALSE
CB,1992,zoopDensity,1992-07-25,207,207,FALSE
CB,1992,zoopDensity_spring,1992-06-16,168,168,FALSE
CB,1993,iceoff,1993-04-28,118,118,FALSE
CB,1993,iceon,1993-11-08,312,312,FALSE
CB,1993,straton,1993-05-04,124,124,FALSE
CB,1993,stratoff,1993-10-06,279,279,FALSE
CB,1993,energy,1993-08-25,237,237,FALSE
CB,1993,stability,1993-07-12,193,193,FALSE
CB,1993,anoxia_summer,1993-05-04,124,124,FALSE
CB,1993,drsif_epiMin,1993-06-03,154,154,FALSE
CB,1993,totnuf_epiMin,1993-08-25,237,237,FALSE
CB,1993,totpuf_epiMin,1993-06-03,154,154,FALSE
CB,1993,doc_epiMax,1993-07-01,182,182,FALSE
CB,1993,totnuf_hypoMax,1993-05-04,124,124,FALSE
CB,1993,totpuf_hypoMax,1993-07-01,182,182,FALSE
CB,1993,drsif_epiSpringMin,1993-06-03,154,154,FALSE
CB,1993,secchi_max,1993-09-09,252,252,FALSE
CB,1993,secchi_min,1993-07-01,182,182,FALSE
CB,1993,secchi_springmax,1993-06-03,154,154,FALSE
CB,1993,zoopDensity,1993-08-25,237,237,FALSE
CB,1993,zoopDensity_spring,1993-06-15,166,166,FALSE
CB,1994,iceoff,1994-04-18,108,108,FALSE
CB,1994,iceon,1994-11-23,327,327,FALSE
CB,1994,straton,1994-05-02,122,122,FALSE
CB,1994,stratoff,1994-09-20,263,263,FALSE
CB,1994,energy,1994-06-29,180,180,FALSE
CB,1994,stability,1994-06-14,165,165,FALSE
CB,1994,anoxia_summer,1994-06-29,180,180,FALSE
CB,1994,drsif_epiMin,1994-07-26,207,207,FALSE
CB,1994,totnuf_epiMin,1994-08-22,234,234,FALSE
CB,1994,totpuf_epiMin,1994-08-22,234,234,FALSE
CB,1994,doc_epiMax,1994-06-29,180,180,FALSE
CB,1994,totnuf_hypoMax,1994-06-06,157,157,FALSE
CB,1994,totpuf_hypoMax,1994-06-29,180,180,FALSE
CB,1994,drsif_epiSpringMin,1994-06-06,157,157,FALSE
CB,1994,secchi_max,1994-06-06,157,157,FALSE
CB,1994,secchi_min,1994-10-04,277,277,FALSE
CB,1994,secchi_springmax,1994-06-06,157,157,FALSE
CB,1994,zoopDensity,1994-06-14,165,165,FALSE
CB,1994,zoopDensity_spring,1994-06-14,165,165,FALSE
CB,1995,iceoff,1995-04-17,107,107,FALSE
CB,1995,iceon,1995-11-07,311,311,FALSE
CB,1995,straton,1995-05-02,122,122,FALSE
CB,1995,stratoff,1995-10-04,277,277,FALSE
CB,1995,energy,1995-08-22,234,234,FALSE
CB,1995,stability,1995-06-27,178,178,FALSE
CB,1995,anoxia_summer,1995-06-27,178,178,FALSE
CB,1995,drsif_epiMin,1995-08-22,234,234,FALSE
CB,1995,totnuf_epiMin,1995-06-02,153,153,FALSE
CB,1995,totpuf_epiMin,1995-06-02,153,153,FALSE
CB,1995,doc_epiMax,1995-07-24,205,205,FALSE
CB,1995,totnuf_hypoMax,1995-08-22,234,234,FALSE
CB,1995,totpuf_hypoMax,1995-08-22,234,234,FALSE
CB,1995,drsif_epiSpringMin,1995-06-02,153,153,FALSE
CB,1995,secchi_max,1995-10-04,277,277,FALSE
CB,1995,secchi_min,1995-06-12,163,163,FALSE
CB,1995,secchi_springmax,1995-06-02,153,153,FALSE
CB,1995,zoopDensity,1995-06-12,163,163,FALSE
CB,1995,zoopDensity_spring,1995-06-12,163,163,FALSE
CB,1996,iceoff,1996-05-06,127,127,FALSE
CB,1996,iceon,1996-11-11,316,316,FALSE
CB,1996,straton,1996-05-08,129,129,FALSE
CB,1996,stratoff,1996-10-01,275,275,FALSE
CB,1996,energy,1996-09-05,249,249,FALSE
CB,1996,stability,1996-07-08,190,190,FALSE
CB,1996,anoxia_summer,1996-05-08,129,129,FALSE
CB,1996,drsif_epiMin,1996-07-08,190,190,FALSE
CB,1996,totnuf_epiMin,1996-09-05,249,249,FALSE
CB,1996,totpuf_epiMin,1996-09-05,249,249,FALSE
CB,1996,doc_epiMax,1996-07-08,190,190,FALSE
CB,1996,totnuf_hypoMax,1996-07-08,190,190,FALSE
CB,1996,totpuf_hypoMax,1996-07-08,190,190,FALSE
CB,1996,drsif_epiSpringMin,1996-07-08,190,190,FALSE
CB,1996,secchi_max,1996-09-18,262,262,FALSE
CB,1996,secchi_min,1996-10-01,275,275,FALSE
CB,1996,secchi_springmax,1996-06-13,165,165,FALSE
CB,1996,zoopDensity,1996-08-07,220,220,FALSE
CB,1996,zoopDensity_spring,1996-06-13,165,165,FALSE
CB,1997,iceoff,1997-04-26,116,116,FALSE
CB,1997,iceon,1997-11-11,315,315,FALSE
CB,1997,straton,1997-05-07,127,127,FALSE
CB,1997,stratoff,1997-08-26,238,238,FALSE
CB,1997,energy,1997-06-30,181,181,FALSE
CB,1997,stability,1997-06-02,153,153,FALSE
CB,1997,anoxia_summer,1997-06-30,181,181,FALSE
CB,1997,drsif_epiMin,1997-11-06,310,310,FALSE
CB,1997,totnuf_epiMin,1997-11-06,310,310,FALSE
CB,1997,totpuf_epiMin,1997-05-07,127,127,FALSE
CB,1997,doc_epiMax,1997-09-22,265,265,FALSE
CB,1997,totnuf_hypoMax,1997-05-07,127,127,FALSE
CB,1997,totpuf_hypoMax,1997-07-29,210,210,FALSE
CB,1997,drsif_epiSpringMin,1997-06-30,181,181,FALSE
CB,1997,secchi_max,1997-08-26,238,238,FALSE
CB,1997,secchi_min,1997-06-02,153,153,FALSE
CB,1997,secchi_springmax,1997-06-19,170,170,FALSE
CB,1997,zoopDensity,1997-08-26,238,238,FALSE
CB,1997,zoopDensity_spring,1997-05-07,127,127,FALSE
CB,1998,iceoff,1998-04-07,97,97,FALSE
CB,1998,iceon,1998-12-08,342,342,FALSE
