lakeid,year4,daynum,sampledate,extcoef,lightext_flag,comments
AL,2016,28,1/28/2016,0.936,,
AL,2016,68,3/8/2016,0.791,,
AL,2016,116,4/25/2016,0.881,,
AL,2016,131,5/10/2016,0.895,,
AL,2016,144,5/23/2016,0.71,,
AL,2016,158,6/6/2016,0.839,,
AL,2016,172,6/20/2016,0.801,,
AL,2016,187,7/5/2016,0.805,,
AL,2016,202,7/20/2016,0.844,,
AL,2016,216,8/3/2016,1.021,,
AL,2016,231,8/18/2016,1.054,,
AL,2016,242,8/29/2016,1.05,,
AL,2016,256,9/12/2016,1.182,,
AL,2016,270,9/26/2016,1.245,,
AL,2016,285,10/11/2016,1.042,,
AL,2016,298,10/24/2016,1.085,,
AL,2016,315,11/10/2016,1.451,,
AL,2017,16,1/16/2017,1.428,,
AL,2017,51,2/20/2017,0.946,,
AL,2017,80,3/21/2017,0.901,,
AL,2017,107,4/17/2017,1.051,,
AL,2017,123,5/3/2017,0.9,,
AL,2017,136,5/16/2017,0.82,,
AL,2017,150,5/30/2017,0.817,,
AL,2017,165,6/14/2017,0.832,,
AL,2017,178,6/27/2017,,,
AL,2017,193,7/12/2017,0.914,,
AL,2017,206,7/25/2017,,V,ext_coef: Light not monotonically decreasing
AL,2017,220,8/8/2017,0.987,,
AL,2017,234,8/22/2017,0.859,,
AL,2017,248,9/5/2017,,,
AL,2017,262,9/19/2017,1.06,,
AL,2017,277,10/4/2017,1.153,,
AL,2017,289,10/16/2017,1.265,,
AL,2017,311,11/7/2017,1.202,,
AL,2018,16,1/16/2018,1.187,,
AL,2018,53,2/22/2018,0.965,,
AL,2018,85,3/26/2018,0.915,,
AL,2018,134,5/14/2018,1.147,,
AL,2018,149,5/29/2018,,V,ext_coef: Light not monotonically decreasing
AL,2018,162,6/11/2018,1.013,,
AL,2018,176,6/25/2018,1.064,,
AL,2018,192,7/11/2018,0.918,,
AL,2018,206,7/25/2018,0.961,,
AL,2018,220,8/8/2018,0.982,,
AL,2018,234,8/22/2018,0.936,,
AL,2018,247,9/4/2018,0.853,,
AL,2018,260,9/17/2018,1.106,,
AL,2018,275,10/2/2018,0.917,,
AL,2018,289,10/16/2018,1.166,,
AL,2018,309,11/5/2018,0.973,,
AL,2019,15,1/15/2019,1.045,,
AL,2019,59,2/28/2019,0.944,,
AL,2019,80,3/21/2019,0.996,,
AL,2019,127,5/7/2019,1.137,,
AL,2019,140,5/20/2019,0.858,,
AL,2019,154,6/3/2019,0.788,,
AL,2019,169,6/18/2019,,V,extcoef: Light not monotonically decreasing
AL,2019,182,7/1/2019,0.749,,
AL,2019,197,7/16/2019,,V,extcoef: Light not monotonically decreasing
AL,2019,212,7/31/2019,0.946,,
AL,2019,225,8/13/2019,0.834,,
AL,2019,239,8/27/2019,0.678,,
AL,2019,252,9/9/2019,0.895,,
AL,2019,266,9/23/2019,0.943,,
AL,2019,282,10/9/2019,,V,extcoef: Light not monotonically decreasing
AL,2019,295,10/22/2019,1.048,,
AL,2019,310,11/6/2019,,V,extcoef: Light not monotonically decreasing
AL,2020,24,1/24/2020,0.818,,
AL,2020,122,5/1/2020,1.054,,
AL,2020,155,6/3/2020,0.77,,
AL,2020,184,7/2/2020,0.716,,
AL,2020,216,8/3/2020,0.947,,
AL,2020,252,9/8/2020,1.059,,
AL,2020,288,10/14/2020,1.06,,
AL,2020,303,10/29/2020,0.886,,
BM,1981,155,6/4/1981,,V,extcoef: No light data
BM,1981,168,6/17/1981,0.37,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1981,181,6/30/1981,0.399,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1981,195,7/14/1981,0.349,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1981,209,7/28/1981,0.395,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1981,223,8/11/1981,0.409,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1981,238,8/26/1981,0.315,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1981,257,9/14/1981,0.345,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1981,266,9/23/1981,0.347,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1981,293,10/20/1981,,V,extcoef: Insufficient light data
BM,1981,334,11/30/1981,0.424,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1982,25,1/25/1982,,V,extcoef: No light data
BM,1982,56,2/25/1982,,V,extcoef: No light data
BM,1982,97,4/7/1982,,V,extcoef: No light data
BM,1982,131,5/11/1982,,V,extcoef: Light not monotonically decreasing
BM,1982,145,5/25/1982,,V,extcoef: Light not monotonically decreasing
BM,1982,160,6/9/1982,0.233,,
BM,1982,172,6/21/1982,0.208,,
BM,1982,189,7/8/1982,,V,extcoef: No light data
BM,1982,202,7/21/1982,,V,extcoef: No light data
BM,1982,217,8/5/1982,,V,extcoef: No light data
BM,1982,230,8/18/1982,0.29,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1982,251,9/8/1982,0.26,,
BM,1982,264,9/21/1982,0.322,,
BM,1982,279,10/6/1982,0.266,,
BM,1982,291,10/18/1982,0.284,,
BM,1982,313,11/9/1982,0.24,,
BM,1982,337,12/3/1982,,V,extcoef: No light data
BM,1983,12,1/12/1983,,V,extcoef: No light data
BM,1983,48,2/17/1983,,V,extcoef: No light data
BM,1983,82,3/23/1983,,V,extcoef: No light data
BM,1983,130,5/10/1983,0.242,,
BM,1983,146,5/26/1983,0.252,,
BM,1983,157,6/6/1983,0.245,,
BM,1983,173,6/22/1983,0.269,,
BM,1983,187,7/6/1983,0.276,,
BM,1983,199,7/18/1983,0.338,,
BM,1983,214,8/2/1983,0.381,,
BM,1983,229,8/17/1983,0.339,,
BM,1983,250,9/7/1983,,V,extcoef: Light not monotonically decreasing
BM,1983,271,9/28/1983,0.332,,
BM,1983,290,10/17/1983,0.357,,
BM,1983,306,11/2/1983,0.275,,
BM,1983,318,11/14/1983,0.278,,
BM,1983,332,11/28/1983,0.29,,
BM,1984,10,1/10/1984,,V,extcoef: No light data
BM,1984,54,2/23/1984,,V,extcoef: No light data
BM,1984,95,4/4/1984,,V,extcoef: No light data
BM,1984,128,5/7/1984,0.237,,
BM,1984,145,5/24/1984,0.255,,
BM,1984,158,6/6/1984,,V,extcoef: Light not monotonically decreasing
BM,1984,172,6/20/1984,0.245,,
BM,1984,185,7/3/1984,,V,extcoef: Light not monotonically decreasing
BM,1984,199,7/17/1984,0.292,,
BM,1984,214,8/1/1984,,V,extcoef: Light not monotonically decreasing
BM,1984,226,8/13/1984,0.339,,
BM,1984,248,9/4/1984,0.386,,
BM,1984,269,9/25/1984,0.293,,
BM,1984,289,10/15/1984,0.358,,
BM,1984,310,11/5/1984,0.545,,
BM,1985,9,1/9/1985,0.499,,
BM,1985,57,2/26/1985,0.553,,
BM,1985,86,3/27/1985,0.289,,
BM,1985,101,4/11/1985,0.306,,
BM,1985,121,5/1/1985,0.349,,
BM,1985,134,5/14/1985,0.41,,
BM,1985,150,5/30/1985,0.336,,
BM,1985,164,6/13/1985,0.344,,
BM,1985,177,6/26/1985,0.321,,
BM,1985,190,7/9/1985,0.37,,
BM,1985,206,7/25/1985,,V,extcoef: Light not monotonically decreasing
BM,1985,220,8/8/1985,0.345,,
BM,1985,233,8/21/1985,0.32,,
BM,1985,254,9/11/1985,0.345,,
BM,1985,276,10/3/1985,,V,extcoef: Light not monotonically decreasing
BM,1985,298,10/25/1985,0.372,,
BM,1985,317,11/13/1985,0.254,,
BM,1986,8,1/8/1986,,V,extcoef: Insufficient light data
BM,1986,57,2/26/1986,,V,extcoef: Insufficient light data
BM,1986,91,4/1/1986,0.224,,
BM,1986,113,4/23/1986,0.323,,
BM,1986,128,5/8/1986,0.299,,
BM,1986,139,5/19/1986,0.269,,
BM,1986,155,6/4/1986,0.251,,
BM,1986,169,6/18/1986,0.28,,
BM,1986,182,7/1/1986,0.286,,
BM,1986,197,7/16/1986,0.309,,
BM,1986,211,7/30/1986,,V,extcoef: Light not monotonically decreasing
BM,1986,224,8/12/1986,0.337,,
BM,1986,237,8/25/1986,0.329,,
BM,1986,253,9/10/1986,0.274,,
BM,1986,266,9/23/1986,0.34,,
BM,1986,280,10/7/1986,,V,extcoef: Light not monotonically decreasing
BM,1986,294,10/21/1986,0.316,,
BM,1986,309,11/5/1986,0.272,,
BM,1987,12,1/12/1987,0.383,,
BM,1987,56,2/25/1987,0.425,,
BM,1987,83,3/24/1987,0.267,,
BM,1987,106,4/16/1987,0.292,,
BM,1987,126,5/6/1987,0.392,,
BM,1987,141,5/21/1987,,V,extcoef: Light not monotonically decreasing
BM,1987,153,6/2/1987,0.274,,
BM,1987,162,6/11/1987,0.261,,
BM,1987,181,6/30/1987,0.316,,
BM,1987,195,7/14/1987,0.336,,
BM,1987,209,7/28/1987,0.323,,
BM,1987,223,8/11/1987,0.325,,
BM,1987,236,8/24/1987,0.332,,
BM,1987,252,9/9/1987,0.319,,
BM,1987,266,9/23/1987,0.328,,
BM,1987,279,10/6/1987,0.293,,
BM,1987,294,10/21/1987,0.345,,
BM,1987,308,11/4/1987,0.315,,
BM,1987,320,11/16/1987,0.271,,
BM,1988,12,1/12/1988,,V,extcoef: Light not monotonically decreasing
BM,1988,61,3/1/1988,0.432,,
BM,1988,97,4/6/1988,0.273,,
BM,1988,116,4/25/1988,0.331,,
BM,1988,132,5/11/1988,0.325,,
BM,1988,146,5/25/1988,0.232,,
BM,1988,161,6/9/1988,0.274,,
BM,1988,174,6/22/1988,0.278,,
BM,1988,187,7/5/1988,0.306,,
BM,1988,202,7/20/1988,0.344,,
BM,1988,217,8/4/1988,0.314,,
BM,1988,231,8/18/1988,0.289,,
BM,1988,243,8/30/1988,0.32,,
BM,1988,256,9/12/1988,0.295,,
BM,1988,271,9/27/1988,0.375,,
BM,1988,287,10/13/1988,0.381,,
BM,1988,298,10/24/1988,0.321,,
BM,1988,312,11/7/1988,0.238,,
BM,1989,17,1/17/1989,,V,extcoef: Insufficient light data
BM,1989,59,2/28/1989,,V,extcoef: Insufficient light data
BM,1989,90,3/31/1989,0.235,,
BM,1989,122,5/2/1989,0.294,,
BM,1989,135,5/15/1989,0.344,,
BM,1989,151,5/31/1989,,V,extcoef: Light not monotonically decreasing
BM,1989,163,6/12/1989,0.247,,
BM,1989,178,6/27/1989,0.256,,
BM,1989,191,7/10/1989,0.294,,
BM,1989,206,7/25/1989,0.32,,
BM,1989,222,8/10/1989,0.322,,
BM,1989,234,8/22/1989,0.256,,
BM,1989,250,9/7/1989,,V,extcoef: Light not monotonically decreasing
BM,1989,263,9/20/1989,0.328,,
BM,1989,276,10/3/1989,0.27,,
BM,1989,290,10/17/1989,,V,extcoef: Light not monotonically decreasing
BM,1989,305,11/1/1989,0.3,,
BM,1989,318,11/14/1989,0.247,,
BM,1990,23,1/23/1990,,V,extcoef: Insufficient light data
BM,1990,51,2/20/1990,,V,extcoef: Insufficient light data
BM,1990,88,3/29/1990,,V,extcoef: No light data
BM,1990,121,5/1/1990,0.316,,
BM,1990,134,5/14/1990,0.238,,
BM,1990,151,5/31/1990,,V,extcoef: Light not monotonically decreasing
BM,1990,164,6/13/1990,0.262,,
BM,1990,177,6/26/1990,,V,extcoef: Light not monotonically decreasing
BM,1990,190,7/9/1990,0.334,,
BM,1990,207,7/26/1990,0.303,,
BM,1990,218,8/6/1990,0.319,,
BM,1990,233,8/21/1990,0.324,,
BM,1990,248,9/5/1990,0.316,,
BM,1990,263,9/20/1990,0.306,,
BM,1990,274,10/1/1990,0.336,,
BM,1990,292,10/19/1990,0.324,,
BM,1990,302,10/29/1990,0.328,,
BM,1990,318,11/14/1990,0.254,,
BM,1991,14,1/14/1991,,V,extcoef: Insufficient light data
BM,1991,52,2/21/1991,0.271,,
BM,1991,85,3/26/1991,0.235,,
BM,1991,126,5/6/1991,0.315,,
BM,1991,140,5/20/1991,0.275,,
BM,1991,156,6/5/1991,,V,extcoef: Light not monotonically decreasing
BM,1991,168,6/17/1991,,V,extcoef: Light not monotonically decreasing
BM,1991,182,7/1/1991,0.254,,
BM,1991,196,7/15/1991,0.308,,
BM,1991,210,7/29/1991,0.287,,
BM,1991,226,8/14/1991,0.338,,
BM,1991,239,8/27/1991,0.336,,
BM,1991,252,9/9/1991,0.302,,
BM,1991,267,9/24/1991,,V,extcoef: Light not monotonically decreasing
BM,1991,280,10/7/1991,,V,extcoef: Light not monotonically decreasing
BM,1991,302,10/29/1991,0.224,,
BM,1992,13,1/13/1992,0.331,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1992,56,2/25/1992,,V,extcoef: Insufficient light data
BM,1992,87,3/27/1992,0.303,,
BM,1992,126,5/5/1992,0.338,,
BM,1992,141,5/20/1992,0.378,,
BM,1992,155,6/3/1992,0.198,,
BM,1992,170,6/18/1992,0.237,,
BM,1992,190,7/8/1992,,V,extcoef: No light data
BM,1992,196,7/14/1992,0.335,,
BM,1992,212,7/30/1992,,V,extcoef: Insufficient light data
BM,1992,225,8/12/1992,1.504,,
BM,1992,238,8/25/1992,0.262,,
BM,1992,253,9/9/1992,0.272,,
BM,1992,267,9/23/1992,0.311,,
BM,1992,281,10/7/1992,0.3,,
BM,1992,293,10/19/1992,,V,extcoef: Light not monotonically decreasing
BM,1992,316,11/11/1992,0.327,,
BM,1993,6,1/6/1993,,V,extcoef: Insufficient light data
BM,1993,53,2/22/1993,0.419,,
BM,1993,83,3/24/1993,0.226,,
BM,1993,125,5/5/1993,,V,extcoef: Light not monotonically decreasing
BM,1993,138,5/18/1993,,V,extcoef: Light not monotonically decreasing
BM,1993,153,6/2/1993,0.249,,
BM,1993,166,6/15/1993,0.25,,
BM,1993,179,6/28/1993,0.281,,
BM,1993,195,7/14/1993,0.315,,
BM,1993,209,7/28/1993,,V,extcoef: Light not monotonically decreasing
BM,1993,224,8/12/1993,0.295,,
BM,1993,238,8/26/1993,0.314,,
BM,1993,251,9/8/1993,0.254,,
BM,1993,264,9/21/1993,0.087,,
BM,1993,277,10/4/1993,0.381,,
BM,1993,292,10/19/1993,0.337,,
BM,1993,314,11/10/1993,0.342,,
BM,1994,11,1/11/1994,,V,extcoef: Insufficient light data
BM,1994,55,2/24/1994,0.289,,
BM,1994,89,3/30/1994,,V,extcoef: Insufficient light data
BM,1994,126,5/6/1994,,V,extcoef: Light not monotonically decreasing
BM,1994,136,5/16/1994,0.275,,
BM,1994,152,6/1/1994,0.3,,
BM,1994,164,6/13/1994,,V,extcoef: Light not monotonically decreasing
BM,1994,180,6/29/1994,0.27,,
BM,1994,194,7/13/1994,0.314,,
BM,1994,206,7/25/1994,0.353,,
BM,1994,222,8/10/1994,0.28,,
BM,1994,238,8/26/1994,0.321,,
BM,1994,249,9/6/1994,,V,extcoef: Light not monotonically decreasing
BM,1994,262,9/19/1994,0.353,,
BM,1994,278,10/5/1994,0.346,,
BM,1994,291,10/18/1994,0.358,,
BM,1994,307,11/3/1994,0.325,,
BM,1994,318,11/14/1994,0.325,,
BM,1995,11,1/11/1995,,V,extcoef: Insufficient light data
BM,1995,52,2/21/1995,0.471,,
BM,1995,82,3/23/1995,0.25,,
BM,1995,123,5/3/1995,,V,extcoef: Light not monotonically decreasing
BM,1995,136,5/16/1995,0.323,,
BM,1995,150,5/30/1995,0.253,,
BM,1995,164,6/13/1995,0.253,,
BM,1995,177,6/26/1995,0.281,,
BM,1995,191,7/10/1995,0.297,,
BM,1995,206,7/25/1995,0.315,,
BM,1995,220,8/8/1995,0.328,,
BM,1995,235,8/23/1995,0.323,,
BM,1995,250,9/7/1995,0.344,,
BM,1995,263,9/20/1995,0.314,,
BM,1995,276,10/3/1995,0.367,,
BM,1995,289,10/16/1995,0.502,,
BM,1995,303,10/30/1995,0.514,,
BM,1995,352,12/18/1995,,V,extcoef: Ice depth is missing
BM,1996,38,2/7/1996,,V,extcoef: Insufficient light data
BM,1996,54,2/23/1996,,V,extcoef: Insufficient light data
BM,1996,100,4/9/1996,,V,extcoef: Insufficient light data
BM,1996,136,5/15/1996,0.342,,
BM,1996,149,5/28/1996,0.363,,
BM,1996,162,6/10/1996,0.449,,
BM,1996,177,6/25/1996,0.292,,
BM,1996,192,7/10/1996,,V,extcoef: Insufficient light data
BM,1996,205,7/23/1996,0.328,,
BM,1996,219,8/6/1996,0.332,,
BM,1996,234,8/21/1996,0.377,,
BM,1996,247,9/3/1996,,V,extcoef: Light not monotonically decreasing
BM,1996,261,9/17/1996,0.384,,
BM,1996,276,10/2/1996,0.362,,
BM,1996,288,10/14/1996,0.367,,
BM,1996,311,11/6/1996,0.365,,
BM,1997,15,1/15/1997,,V,extcoef: No light data
BM,1997,51,2/20/1997,,V,extcoef: Insufficient light data
BM,1997,92,4/2/1997,0.263,,
BM,1997,126,5/6/1997,0.326,,
BM,1997,141,5/21/1997,0.299,,
BM,1997,153,6/2/1997,0.308,,
BM,1997,168,6/17/1997,0.275,,
BM,1997,181,6/30/1997,0.27,,
BM,1997,195,7/14/1997,0.291,,
BM,1997,211,7/30/1997,,V,extcoef: No light data
BM,1997,225,8/13/1997,,V,extcoef: No light data
BM,1997,239,8/27/1997,,V,extcoef: No light data
BM,1997,253,9/10/1997,0.312,,
BM,1997,265,9/22/1997,,V,extcoef: Light not monotonically decreasing
BM,1997,283,10/10/1997,,V,extcoef: Light not monotonically decreasing
BM,1997,295,10/22/1997,0.488,,
BM,1997,316,11/12/1997,0.407,,
BM,1998,15,1/15/1998,,V,extcoef: Insufficient light data
BM,1998,50,2/19/1998,0.225,,
BM,1998,78,3/19/1998,0.606,,
BM,1998,113,4/23/1998,0.311,,
BM,1998,124,5/4/1998,0.285,,
BM,1998,138,5/18/1998,0.269,,
BM,1998,153,6/2/1998,0.278,,
BM,1998,169,6/18/1998,0.308,,
BM,1998,181,6/30/1998,0.321,,
BM,1998,194,7/13/1998,0.334,,
BM,1998,209,7/28/1998,0.333,,
BM,1998,223,8/11/1998,0.344,,
BM,1998,236,8/24/1998,0.346,,
BM,1998,251,9/8/1998,0.328,,
BM,1998,264,9/21/1998,0.334,,
BM,1998,278,10/5/1998,0.354,,
BM,1998,293,10/20/1998,0.402,,
BM,1998,306,11/2/1998,0.578,,
BM,1999,15,1/15/1999,,V,extcoef: Insufficient light data
BM,1999,55,2/24/1999,,V,extcoef: Insufficient light data
BM,1999,83,3/24/1999,0.349,,
BM,1999,123,5/3/1999,0.402,,
BM,1999,138,5/18/1999,0.293,,
BM,1999,152,6/1/1999,0.262,,
BM,1999,166,6/15/1999,0.294,,
BM,1999,179,6/28/1999,0.272,,
BM,1999,194,7/13/1999,0.273,,
BM,1999,208,7/27/1999,0.335,,
BM,1999,224,8/12/1999,0.311,,
BM,1999,239,8/27/1999,0.339,,
BM,1999,250,9/7/1999,0.338,,
BM,1999,266,9/23/1999,0.361,,
BM,1999,277,10/4/1999,0.377,,
BM,1999,294,10/21/1999,,V,extcoef: Light not monotonically decreasing
BM,1999,315,11/11/1999,,V,extcoef: No light data
BM,2000,24,1/24/2000,,V,extcoef: Insufficient light data
BM,2000,54,2/23/2000,,V,extcoef: Insufficient light data
BM,2000,96,4/5/2000,0.288,,
BM,2000,109,4/18/2000,0.316,,
BM,2000,123,5/2/2000,0.297,,
BM,2000,136,5/15/2000,0.246,,
BM,2000,151,5/30/2000,0.246,,
BM,2000,167,6/15/2000,0.265,,
BM,2000,178,6/26/2000,0.266,,
BM,2000,192,7/10/2000,0.304,,
BM,2000,206,7/24/2000,0.308,,
BM,2000,220,8/7/2000,0.332,,
BM,2000,237,8/24/2000,0.362,,
BM,2000,251,9/7/2000,0.283,,
BM,2000,264,9/20/2000,0.357,,
BM,2000,277,10/3/2000,0.336,,
BM,2000,290,10/16/2000,0.312,,
BM,2000,306,11/1/2000,0.316,,
BM,2000,319,11/14/2000,0.201,,
BM,2001,18,1/18/2001,,V,extcoef: Light not monotonically decreasing
BM,2001,54,2/23/2001,0.262,,
BM,2001,96,4/6/2001,0.215,,
BM,2001,124,5/4/2001,0.294,,
BM,2001,135,5/15/2001,0.238,,
BM,2001,151,5/31/2001,,V,extcoef: Light not monotonically decreasing
BM,2001,163,6/12/2001,0.216,,
BM,2001,178,6/27/2001,0.29,,
BM,2001,191,7/10/2001,0.285,,
BM,2001,206,7/25/2001,0.328,,
BM,2001,219,8/7/2001,0.319,,
BM,2001,233,8/21/2001,0.315,,
BM,2001,247,9/4/2001,0.322,,
BM,2001,260,9/17/2001,0.284,,
BM,2001,274,10/1/2001,0.307,,
BM,2001,289,10/16/2001,0.37,,
BM,2001,304,10/31/2001,0.357,,
BM,2001,316,11/12/2001,0.287,,
BM,2002,22,1/22/2002,0.156,,
BM,2002,57,2/26/2002,,V,extcoef: Insufficient light data
BM,2002,106,4/16/2002,0.219,,
BM,2002,114,4/24/2002,0.193,,
BM,2002,126,5/6/2002,0.226,,
BM,2002,140,5/20/2002,0.23,,
BM,2002,154,6/3/2002,0.209,,
BM,2002,169,6/18/2002,0.221,,
BM,2002,184,7/3/2002,0.267,,
BM,2002,196,7/15/2002,0.306,,
BM,2002,211,7/30/2002,0.307,,
BM,2002,224,8/12/2002,0.32,,
BM,2002,240,8/28/2002,0.306,,
BM,2002,252,9/9/2002,0.353,,
BM,2002,266,9/23/2002,0.283,,
BM,2002,280,10/7/2002,0.311,,
BM,2002,294,10/21/2002,0.275,,
BM,2002,309,11/5/2002,0.268,,
BM,2003,30,1/30/2003,0.263,,
BM,2003,52,2/21/2003,0.3,,
BM,2003,91,4/1/2003,0.263,,
BM,2003,120,4/30/2003,0.246,,
BM,2003,135,5/15/2003,,V,extcoef: Light not monotonically decreasing
BM,2003,150,5/30/2003,,V,extcoef: No light data
BM,2003,160,6/9/2003,0.249,,
BM,2003,176,6/25/2003,0.275,,
BM,2003,190,7/9/2003,0.288,,
BM,2003,204,7/23/2003,0.281,,
BM,2003,218,8/6/2003,,V,extcoef: Light not monotonically decreasing
BM,2003,231,8/19/2003,0.288,,
BM,2003,245,9/2/2003,0.314,,
BM,2003,260,9/17/2003,0.329,,
BM,2003,275,10/2/2003,0.322,,
BM,2003,286,10/13/2003,0.292,,
BM,2003,302,10/29/2003,0.278,,
BM,2003,314,11/10/2003,0.243,,
BM,2004,26,1/26/2004,,V,extcoef: Insufficient light data
BM,2004,62,3/2/2004,,V,extcoef: No light data
BM,2004,96,4/5/2004,0.231,,
BM,2004,120,4/29/2004,,V,extcoef: No light data
BM,2004,132,5/11/2004,,V,extcoef: No light data
BM,2004,146,5/25/2004,0.245,,
BM,2004,160,6/8/2004,0.247,,
BM,2004,174,6/22/2004,0.246,,
BM,2004,189,7/7/2004,0.276,,
BM,2004,201,7/19/2004,0.299,,
BM,2004,216,8/3/2004,0.316,,
BM,2004,230,8/17/2004,0.299,,
BM,2004,243,8/30/2004,0.305,,
BM,2004,257,9/13/2004,0.311,,
BM,2004,272,9/28/2004,0.303,,
BM,2004,286,10/12/2004,0.294,,
BM,2004,301,10/27/2004,0.245,,
BM,2004,313,11/8/2004,0.326,,
BM,2005,11,1/11/2005,0.38,,
BM,2005,55,2/24/2005,0.288,,
BM,2005,94,4/4/2005,0.248,,
BM,2005,112,4/22/2005,0.356,,
BM,2005,125,5/5/2005,0.31,,
BM,2005,136,5/16/2005,0.284,,
BM,2005,151,5/31/2005,0.237,,
BM,2005,165,6/14/2005,0.257,,
BM,2005,179,6/28/2005,0.282,,
BM,2005,193,7/12/2005,,V,extcoef: Light not monotonically decreasing
BM,2005,207,7/26/2005,0.319,,
BM,2005,222,8/10/2005,0.351,,
BM,2005,235,8/23/2005,,V,extcoef: Light not monotonically decreasing
BM,2005,252,9/9/2005,0.314,,
BM,2005,265,9/22/2005,0.231,,
BM,2005,278,10/5/2005,0.296,,
BM,2005,290,10/17/2005,,V,extcoef: Light not monotonically decreasing
BM,2005,315,11/11/2005,0.267,,
BM,2006,16,1/16/2006,,V,extcoef: Insufficient light data
BM,2006,52,2/21/2006,0.32,,
BM,2006,94,4/4/2006,0.229,,
BM,2006,114,4/24/2006,0.296,,
BM,2006,123,5/3/2006,0.279,,
BM,2006,139,5/19/2006,0.244,,
BM,2006,150,5/30/2006,0.262,,
BM,2006,164,6/13/2006,0.275,,
BM,2006,178,6/27/2006,0.285,,
BM,2006,191,7/10/2006,0.32,,
BM,2006,206,7/25/2006,0.332,,
BM,2006,219,8/7/2006,0.35,,
BM,2006,235,8/23/2006,0.301,,
BM,2006,248,9/5/2006,0.314,,
BM,2006,261,9/18/2006,0.313,,
BM,2006,275,10/2/2006,0.333,,
BM,2006,289,10/16/2006,0.323,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,2006,305,11/1/2006,,V,extcoef: No light data
BM,2007,17,1/17/2007,0.294,,
BM,2007,58,2/27/2007,0.227,,
BM,2007,89,3/30/2007,0.24,,
BM,2007,115,4/25/2007,0.222,,
BM,2007,127,5/7/2007,0.246,,
BM,2007,142,5/22/2007,0.252,,
BM,2007,158,6/7/2007,0.242,,
BM,2007,171,6/20/2007,0.273,,
BM,2007,183,7/2/2007,0.308,,
BM,2007,199,7/18/2007,0.332,,
BM,2007,213,8/1/2007,0.338,,
BM,2007,227,8/15/2007,0.354,,
BM,2007,239,8/27/2007,0.339,,
BM,2007,254,9/11/2007,0.305,,
BM,2007,270,9/27/2007,0.314,,
BM,2007,281,10/8/2007,0.34,,
BM,2007,295,10/22/2007,0.339,,
BM,2007,313,11/9/2007,0.326,,
BM,2008,16,1/16/2008,0.295,,
BM,2008,57,2/26/2008,0.242,,
BM,2008,86,3/26/2008,0.289,,
BM,2008,130,5/9/2008,0.316,,
BM,2008,141,5/20/2008,0.323,,
BM,2008,155,6/3/2008,0.272,,
BM,2008,175,6/23/2008,,V,extcoef: Light not monotonically decreasing
BM,2008,183,7/1/2008,0.282,,
BM,2008,198,7/16/2008,0.342,,
BM,2008,212,7/30/2008,0.368,,
BM,2008,228,8/15/2008,0.373,,
BM,2008,241,8/28/2008,0.278,,
BM,2008,252,9/8/2008,0.309,,
BM,2008,266,9/22/2008,0.332,,
BM,2008,280,10/6/2008,0.31,,
BM,2008,295,10/21/2008,0.363,,
BM,2008,312,11/7/2008,0.312,,
BM,2009,21,1/21/2009,,V,extcoef: No light data
BM,2009,55,2/24/2009,0.222,,
BM,2009,75,3/16/2009,0.236,,
BM,2009,119,4/29/2009,0.245,,
BM,2009,132,5/12/2009,0.219,,
BM,2009,146,5/26/2009,0.272,,
BM,2009,161,6/10/2009,0.253,,
BM,2009,174,6/23/2009,,V,extcoef: Light not monotonically decreasing
BM,2009,188,7/7/2009,0.31,,
BM,2009,201,7/20/2009,0.33,,
BM,2009,216,8/4/2009,0.367,,
BM,2009,229,8/17/2009,0.382,,
BM,2009,244,9/1/2009,0.38,,
BM,2009,257,9/14/2009,0.363,,
BM,2009,264,9/21/2009,,V,extcoef: No light data
BM,2009,272,9/29/2009,0.339,,
BM,2009,285,10/12/2009,0.382,,
BM,2009,299,10/26/2009,0.332,,
BM,2009,314,11/10/2009,0.322,,
BM,2010,18,1/18/2010,0.238,,
BM,2010,43,2/12/2010,0.235,,
BM,2010,103,4/13/2010,0.336,,
BM,2010,123,5/3/2010,0.277,,
BM,2010,130,5/10/2010,0.261,,
BM,2010,145,5/25/2010,0.263,,
BM,2010,158,6/7/2010,0.29,,
BM,2010,175,6/24/2010,0.331,,
BM,2010,190,7/9/2010,0.374,,
BM,2010,201,7/20/2010,0.349,,
BM,2010,214,8/2/2010,0.372,,
BM,2010,229,8/17/2010,0.389,,
BM,2010,242,8/30/2010,0.362,,
BM,2010,258,9/15/2010,0.316,,
BM,2010,270,9/27/2010,0.364,,
BM,2010,287,10/14/2010,0.32,,
